phone_number,gender,age,time,ethnicity,notes,severity,longitude,latitude
81437526,male,elderly,2019-09-16 12:24:27.719598,malay,Testing,Severe,103.85601,1.28957
57241683,female,elderly,2019-09-28 11:59:27.719598,indian,Testing,Moderate,103.8514,1.28897
32175846,female,elderly,2019-10-03 16:12:27.719598,others,Testing,Severe,103.85374,1.29227
37218546,male,elderly,2019-10-28 06:06:27.719598,others,Testing,Not urgent,103.85545,1.28877
46783152,female,elderly,2019-09-12 18:01:27.719598,chinese,Testing,Moderate,103.85383,1.29067
21364587,male,elderly,2019-10-23 04:42:27.719598,chinese,Testing,Moderate,103.85249,1.29037
35728461,male,elderly,2019-10-27 18:17:27.719598,chinese,Testing,Moderate,103.8473,1.29067
46375128,male,elderly,2019-09-22 13:36:27.719598,malay,Testing,Not urgent,103.84905,1.28887
31267854,male,elderly,2019-09-03 01:05:27.719598,others,Testing,Moderate,103.85004,1.28847
64271538,female,elderly,2019-10-15 17:38:27.719598,chinese,Testing,Not urgent,103.84659,1.29167
53712486,male,elderly,2019-09-02 00:49:27.719598,others,Testing,Moderate,103.84593,1.29107
42853761,male,elderly,2019-09-03 18:03:27.719598,indian,Testing,Moderate,103.8573,1.28947
23456178,female,elderly,2019-09-13 15:02:27.719598,others,Testing,Severe,103.84559,1.29207
36518247,female,elderly,2019-09-19 13:10:27.719598,others,Testing,Severe,103.85041,1.29127
51846237,male,elderly,2019-09-18 15:51:27.719598,others,Testing,Not urgent,103.84742,1.29117
74135862,female,elderly,2019-10-22 22:07:27.719598,indian,Testing,Not urgent,103.84402,1.28937
13487265,female,elderly,2019-10-30 08:54:27.719598,indian,Testing,Severe,103.85477,1.28917
72135864,female,elderly,2019-09-15 07:00:27.719598,others,Testing,Not urgent,103.85806,1.29167
42587316,female,elderly,2019-09-25 01:32:27.719598,malay,Testing,Severe,103.86035,1.29067
27431658,female,elderly,2019-10-27 23:09:27.719598,others,Testing,Not urgent,103.85558,1.28957
32561478,female,elderly,2019-10-10 02:00:27.719598,indian,Testing,Not urgent,103.8586,1.29147
85461723,male,elderly,2019-09-21 12:53:27.719598,indian,Testing,Not urgent,103.85193,1.28977
87421653,female,elderly,2019-10-18 13:37:27.719598,malay,Testing,Not urgent,103.85706,1.29117
82157634,male,elderly,2019-09-29 06:30:27.719598,chinese,Testing,Moderate,103.86057,1.28887
24138756,female,elderly,2019-10-09 21:42:27.719598,chinese,Testing,Not urgent,103.85864,1.28977
48567312,female,elderly,2019-09-08 07:40:27.719598,chinese,Testing,Moderate,103.84769,1.29017
